country,region,year,coalConsumption
Algeria,Africa,1965,70000
Argentina,Americas,1965,796000
Australia,Asia,1965,17400000
Austria,Europe,1965,5080000
Azerbaijan,Europe,1965,NA
Bangladesh,Asia,1965,0
Belarus,Europe,1965,NA
Belgium,Europe,1965,19200000
Brazil,Americas,1965,1740000
Bulgaria,Europe,1965,6000000
Canada,Americas,1965,15500000
Chile,Americas,1965,1160000
China,Asia,1965,114000000
Colombia,Americas,1965,2010000
Czech Republic,Europe,1965,35300000
Denmark,Europe,1965,3700000
Ecuador,Americas,1965,0
Egypt,Africa,1965,403000
Finland,Europe,1965,1740000
France,Europe,1965,41400000
Germany,Europe,1965,161000000
Greece,Europe,1965,2110000
Hungary,Europe,1965,10900000
India,Asia,1965,35500000
Indonesia,Asia,1965,129000
Iran,Asia,1965,211000
Ireland,Europe,1965,3130000
Israel,Asia,1965,0
Italy,Europe,1965,8630000
Japan,Asia,1965,48700000
Kazakhstan,Asia,1965,NA
Kuwait,Asia,1965,0
Lithuania,Europe,1965,NA
Malaysia,Asia,1965,15000
Mexico,Americas,1965,690000
Netherlands,Europe,1965,8860000
New Zealand,Asia,1965,1640000
Norway,Europe,1965,763000
Pakistan,Asia,1965,1380000
Peru,Americas,1965,36100
Philippines,Asia,1965,44300
Poland,Europe,1965,59500000
Portugal,Europe,1965,592000
Qatar,Asia,1965,0
Romania,Europe,1965,4360000
Russia,Europe,1965,NA
Saudi Arabia,Asia,1965,0
Singapore,Asia,1965,4000
Slovak Republic,Europe,1965,6040000
South Africa,Africa,1965,24700000
South Korea,Asia,1965,4950000
Spain,Europe,1965,9700000
Sweden,Europe,1965,2230000
Switzerland,Europe,1965,1280000
Thailand,Asia,1965,45000
Trinidad and Tobago,Americas,1965,0
Turkey,Europe,1965,3670000
Turkmenistan,Asia,1965,NA
Ukraine,Europe,1965,NA
United Arab Emirates,Asia,1965,0
United Kingdom,Europe,1965,117000000
United States,Americas,1965,292000000
Uzbekistan,Asia,1965,NA
Venezuela,Americas,1965,20000
Vietnam,Asia,1965,898000
Algeria,Africa,1966,68000
Argentina,Americas,1966,833000
Australia,Asia,1966,18000000
Austria,Europe,1966,4860000
Azerbaijan,Europe,1966,NA
Bangladesh,Asia,1966,0
Belarus,Europe,1966,NA
Belgium,Europe,1966,17500000
Brazil,Americas,1966,1880000
Bulgaria,Europe,1966,6180000
Canada,Americas,1966,15200000
Chile,Americas,1966,1200000
China,Asia,1966,122000000
Colombia,Americas,1966,2010000
Czech Republic,Europe,1966,35200000
Denmark,Europe,1966,4190000
Ecuador,Americas,1966,0
Egypt,Africa,1966,274000
Finland,Europe,1966,1620000
France,Europe,1966,38300000
Germany,Europe,1966,150000000
Greece,Europe,1966,2100000
Hungary,Europe,1966,10500000
India,Asia,1966,35500000
Indonesia,Asia,1966,158000
Iran,Asia,1966,232000
Ireland,Europe,1966,3560000
Israel,Asia,1966,0
Italy,Europe,1966,8970000
Japan,Asia,1966,51900000
Kazakhstan,Asia,1966,NA
Kuwait,Asia,1966,0
Lithuania,Europe,1966,NA
Malaysia,Asia,1966,20000
Mexico,Americas,1966,736000
Netherlands,Europe,1966,8070000
New Zealand,Asia,1966,1600000
Norway,Europe,1966,703000
Pakistan,Asia,1966,1160000
Peru,Americas,1966,45500
Philippines,Asia,1966,42000
Poland,Europe,1966,60300000
Portugal,Europe,1966,604000
Qatar,Asia,1966,0
Romania,Europe,1966,4700000
Russia,Europe,1966,NA
Saudi Arabia,Asia,1966,0
Singapore,Asia,1966,5000
Slovak Republic,Europe,1966,6110000
South Africa,Africa,1966,24300000
South Korea,Asia,1966,5610000
Spain,Europe,1966,8970000
Sweden,Europe,1966,2130000
Switzerland,Europe,1966,1050000
Thailand,Asia,1966,65000
Trinidad and Tobago,Americas,1966,0
Turkey,Europe,1966,4080000
Turkmenistan,Asia,1966,NA
Ukraine,Europe,1966,NA
United Arab Emirates,Asia,1966,0
United Kingdom,Europe,1966,112000000
United States,Americas,1966,306000000
Uzbekistan,Asia,1966,NA
Venezuela,Americas,1966,21000
Vietnam,Asia,1966,943000
Algeria,Africa,1967,52000
Argentina,Americas,1967,817000
Australia,Asia,1967,18500000
Austria,Europe,1967,4600000
Azerbaijan,Europe,1967,NA
Bangladesh,Asia,1967,0
Belarus,Europe,1967,NA
Belgium,Europe,1967,17200000
Brazil,Americas,1967,1940000
Bulgaria,Europe,1967,6710000
Canada,Americas,1967,15000000
Chile,Americas,1967,1200000
China,Asia,1967,109000000
Colombia,Americas,1967,2210000
Czech Republic,Europe,1967,34100000
Denmark,Europe,1967,3590000
Ecuador,Americas,1967,0
Egypt,Africa,1967,422000
Finland,Europe,1967,1560000
France,Europe,1967,37800000
Germany,Europe,1967,145000000
Greece,Europe,1967,2010000
Hungary,Europe,1967,9080000
India,Asia,1967,36100000
Indonesia,Asia,1967,111000
Iran,Asia,1967,256000
Ireland,Europe,1967,3790000
Israel,Asia,1967,0
Italy,Europe,1967,9830000
Japan,Asia,1967,57000000
Kazakhstan,Asia,1967,NA
Kuwait,Asia,1967,0
Lithuania,Europe,1967,NA
Malaysia,Asia,1967,12000
Mexico,Americas,1967,903000
Netherlands,Europe,1967,7760000
New Zealand,Asia,1967,1460000
Norway,Europe,1967,738000
Pakistan,Asia,1967,1120000
Peru,Americas,1967,51300
Philippines,Asia,1967,32700
Poland,Europe,1967,61400000
Portugal,Europe,1967,601000
Qatar,Asia,1967,0
Romania,Europe,1967,5200000
Russia,Europe,1967,NA
Saudi Arabia,Asia,1967,0
Singapore,Asia,1967,3000
Slovak Republic,Europe,1967,5900000
South Africa,Africa,1967,25000000
South Korea,Asia,1967,5350000
Spain,Europe,1967,9120000
Sweden,Europe,1967,2110000
Switzerland,Europe,1967,889000
Thailand,Asia,1967,116000
Trinidad and Tobago,Americas,1967,0
Turkey,Europe,1967,3620000
Turkmenistan,Asia,1967,NA
Ukraine,Europe,1967,NA
United Arab Emirates,Asia,1967,0
United Kingdom,Europe,1967,104000000
United States,Americas,1967,300000000
Uzbekistan,Asia,1967,NA
Venezuela,Americas,1967,22000
Vietnam,Asia,1967,1030000
Algeria,Africa,1968,55000
Argentina,Americas,1968,657000
Australia,Asia,1968,19100000
Austria,Europe,1968,4540000
Azerbaijan,Europe,1968,NA
Bangladesh,Asia,1968,0
Belarus,Europe,1968,NA
Belgium,Europe,1968,17700000
Brazil,Americas,1968,1910000
Bulgaria,Europe,1968,7290000
Canada,Americas,1968,16300000
Chile,Americas,1968,1200000
China,Asia,1968,108000000
Colombia,Americas,1968,2010000
Czech Republic,Europe,1968,35300000
Denmark,Europe,1968,3220000
Ecuador,Americas,1968,0
Egypt,Africa,1968,439000
Finland,Europe,1968,1870000
France,Europe,1968,36400000
Germany,Europe,1968,147000000
Greece,Europe,1968,2270000
Hungary,Europe,1968,8960000
India,Asia,1968,37300000
Indonesia,Asia,1968,83000
Iran,Asia,1968,282000
Ireland,Europe,1968,4630000
Israel,Asia,1968,0
Italy,Europe,1968,9520000
Japan,Asia,1968,58700000
Kazakhstan,Asia,1968,NA
Kuwait,Asia,1968,0
Lithuania,Europe,1968,NA
Malaysia,Asia,1968,12000
Mexico,Americas,1968,946000
Netherlands,Europe,1968,7360000
New Zealand,Asia,1968,1380000
Norway,Europe,1968,751000
Pakistan,Asia,1968,1230000
Peru,Americas,1968,50900
Philippines,Asia,1968,14900
Poland,Europe,1968,64300000
Portugal,Europe,1968,541000
Qatar,Asia,1968,0
Romania,Europe,1968,5700000
Russia,Europe,1968,NA
Saudi Arabia,Asia,1968,0
Singapore,Asia,1968,6000
Slovak Republic,Europe,1968,6200000
South Africa,Africa,1968,26200000
South Korea,Asia,1968,5050000
Spain,Europe,1968,9230000
Sweden,Europe,1968,1840000
Switzerland,Europe,1968,841000
Thailand,Asia,1968,128000
Trinidad and Tobago,Americas,1968,0
Turkey,Europe,1968,3940000
Turkmenistan,Asia,1968,NA
Ukraine,Europe,1968,NA
United Arab Emirates,Asia,1968,0
United Kingdom,Europe,1968,104000000
United States,Americas,1968,311000000
Uzbekistan,Asia,1968,NA
Venezuela,Americas,1968,23000
Vietnam,Asia,1968,1150000
Algeria,Africa,1969,70000
Argentina,Americas,1969,875000
Australia,Asia,1969,19700000
Austria,Europe,1969,4470000
Azerbaijan,Europe,1969,NA
Bangladesh,Asia,1969,0
Belarus,Europe,1969,NA
Belgium,Europe,1969,17300000
Brazil,Americas,1969,2130000
Bulgaria,Europe,1969,7330000
Canada,Americas,1969,15800000
Chile,Americas,1969,1200000
China,Asia,1969,130000000
Colombia,Americas,1969,2150000
Czech Republic,Europe,1969,36600000
Denmark,Europe,1969,2940000
Ecuador,Americas,1969,0
Egypt,Africa,1969,474000
Finland,Europe,1969,2250000
France,Europe,1969,36400000
Germany,Europe,1969,151000000
Greece,Europe,1969,2200000
Hungary,Europe,1969,9090000
India,Asia,1969,39600000
Indonesia,Asia,1969,100000
Iran,Asia,1969,311000
Ireland,Europe,1969,4410000
Israel,Asia,1969,0
Italy,Europe,1969,9770000
Japan,Asia,1969,62700000
Kazakhstan,Asia,1969,NA
Kuwait,Asia,1969,0
Lithuania,Europe,1969,NA
Malaysia,Asia,1969,15000
Mexico,Americas,1969,959000
Netherlands,Europe,1969,6260000
New Zealand,Asia,1969,1410000
Norway,Europe,1969,837000
Pakistan,Asia,1969,1110000
Peru,Americas,1969,85700
Philippines,Asia,1969,19600
Poland,Europe,1969,67600000
Portugal,Europe,1969,510000
Qatar,Asia,1969,0
Romania,Europe,1969,6590000
Russia,Europe,1969,NA
Saudi Arabia,Asia,1969,0
Singapore,Asia,1969,3000
Slovak Republic,Europe,1969,6520000
South Africa,Africa,1969,26500000
South Korea,Asia,1969,5270000
Spain,Europe,1969,9290000
Sweden,Europe,1969,1800000
Switzerland,Europe,1969,760000
Thailand,Asia,1969,136000
Trinidad and Tobago,Americas,1969,0
Turkey,Europe,1969,4180000
Turkmenistan,Asia,1969,NA
Ukraine,Europe,1969,NA
United Arab Emirates,Asia,1969,0
United Kingdom,Europe,1969,102000000
United States,Americas,1969,312000000
Uzbekistan,Asia,1969,NA
Venezuela,Americas,1969,24000
Vietnam,Asia,1969,1220000
Algeria,Africa,1970,83000
Argentina,Americas,1970,980000
Australia,Asia,1970,19900000
Austria,Europe,1970,4800000
Azerbaijan,Europe,1970,NA
Bangladesh,Asia,1970,0
Belarus,Europe,1970,NA
Belgium,Europe,1970,16300000
Brazil,Americas,1970,2440000
Bulgaria,Europe,1970,8020000
Canada,Americas,1970,16900000
Chile,Americas,1970,1280000
China,Asia,1970,166000000
Colombia,Americas,1970,2240000
Czech Republic,Europe,1970,37100000
Denmark,Europe,1970,2350000
Ecuador,Americas,1970,0
Egypt,Africa,1970,437000
Finland,Europe,1970,2270000
France,Europe,1970,34700000
Germany,Europe,1970,149000000
Greece,Europe,1970,2530000
Hungary,Europe,1970,9240000
India,Asia,1970,37600000
Indonesia,Asia,1970,87000
Iran,Asia,1970,343000
Ireland,Europe,1970,2150000
Israel,Asia,1970,0
Italy,Europe,1970,9870000
Japan,Asia,1970,60400000
Kazakhstan,Asia,1970,NA
Kuwait,Asia,1970,0
Lithuania,Europe,1970,NA
Malaysia,Asia,1970,16000
Mexico,Americas,1970,1080000
Netherlands,Europe,1970,4590000
New Zealand,Asia,1970,1410000
Norway,Europe,1970,855000
Pakistan,Asia,1970,923000
Peru,Americas,1970,86900
Philippines,Asia,1970,19600
Poland,Europe,1970,70200000
Portugal,Europe,1970,467000
Qatar,Asia,1970,0
Romania,Europe,1970,7160000
Russia,Europe,1970,NA
Saudi Arabia,Asia,1970,0
Singapore,Asia,1970,3000
Slovak Republic,Europe,1970,6580000
South Africa,Africa,1970,27400000
South Korea,Asia,1970,5630000
Spain,Europe,1970,9810000
Sweden,Europe,1970,1900000
Switzerland,Europe,1970,653000
Thailand,Asia,1970,145000
Trinidad and Tobago,Americas,1970,0
Turkey,Europe,1970,4630000
Turkmenistan,Asia,1970,NA
Ukraine,Europe,1970,NA
United Arab Emirates,Asia,1970,0
United Kingdom,Europe,1970,96000000
United States,Americas,1970,309000000
Uzbekistan,Asia,1970,NA
Venezuela,Americas,1970,24000
Vietnam,Asia,1970,1300000
Algeria,Africa,1971,23000
Argentina,Americas,1971,807000
Australia,Asia,1971,20000000
Austria,Europe,1971,4410000
Azerbaijan,Europe,1971,NA
Bangladesh,Asia,1971,0
Belarus,Europe,1971,NA
Belgium,Europe,1971,13500000
Brazil,Americas,1971,2450000
Bulgaria,Europe,1971,7920000
Canada,Americas,1971,16100000
Chile,Americas,1971,1240000
China,Asia,1971,191000000
Colombia,Americas,1971,1740000
Czech Republic,Europe,1971,38700000
Denmark,Europe,1971,1440000
Ecuador,Americas,1971,0
Egypt,Africa,1971,359000
Finland,Europe,1971,2020000
France,Europe,1971,31800000
Germany,Europe,1971,143000000
Greece,Europe,1971,3730000
Hungary,Europe,1971,8940000
India,Asia,1971,38100000
Indonesia,Asia,1971,100000
Iran,Asia,1971,242000
Ireland,Europe,1971,2050000
Israel,Asia,1971,0
Italy,Europe,1971,9540000
Japan,Asia,1971,54800000
Kazakhstan,Asia,1971,NA
Kuwait,Asia,1971,0
Lithuania,Europe,1971,NA
Malaysia,Asia,1971,41000
Mexico,Americas,1971,1350000
Netherlands,Europe,1971,3460000
New Zealand,Asia,1971,1260000
Norway,Europe,1971,804000
Pakistan,Asia,1971,731000
Peru,Americas,1971,122000
Philippines,Asia,1971,19100
Poland,Europe,1971,71800000
Portugal,Europe,1971,432000
Qatar,Asia,1971,0
Romania,Europe,1971,7560000
Russia,Europe,1971,NA
Saudi Arabia,Asia,1971,0
Singapore,Asia,1971,3970
Slovak Republic,Europe,1971,6900000
South Africa,Africa,1971,29200000
South Korea,Asia,1971,5690000
Spain,Europe,1971,9860000
Sweden,Europe,1971,1720000
Switzerland,Europe,1971,441000
Thailand,Asia,1971,114000
Trinidad and Tobago,Americas,1971,0
Turkey,Europe,1971,4760000
Turkmenistan,Asia,1971,NA
Ukraine,Europe,1971,NA
United Arab Emirates,Asia,1971,0
United Kingdom,Europe,1971,85100000
United States,Americas,1971,292000000
Uzbekistan,Asia,1971,NA
Venezuela,Americas,1971,143000
Vietnam,Asia,1971,1430000
Algeria,Africa,1972,20000
Argentina,Americas,1972,720000
Australia,Asia,1972,20900000
Austria,Europe,1972,3990000
Azerbaijan,Europe,1972,NA
Bangladesh,Asia,1972,93500
Belarus,Europe,1972,NA
Belgium,Europe,1972,12900000
Brazil,Americas,1972,2580000
Bulgaria,Europe,1972,8160000
Canada,Americas,1972,15200000
Chile,Americas,1972,1020000
China,Asia,1972,202000000
Colombia,Americas,1972,1810000
Czech Republic,Europe,1972,38100000
Denmark,Europe,1972,1470000
Ecuador,Americas,1972,0
Egypt,Africa,1972,317000
Finland,Europe,1972,2240000
France,Europe,1972,28300000
Germany,Europe,1972,139000000
Greece,Europe,1972,3980000
Hungary,Europe,1972,8690000
India,Asia,1972,40200000
Indonesia,Asia,1972,100000
Iran,Asia,1972,378000
Ireland,Europe,1972,1910000
Israel,Asia,1972,0
Italy,Europe,1972,8870000
Japan,Asia,1972,53600000
Kazakhstan,Asia,1972,NA
Kuwait,Asia,1972,0
Lithuania,Europe,1972,NA
Malaysia,Asia,1972,104000
Mexico,Americas,1972,1490000
Netherlands,Europe,1972,2960000
New Zealand,Asia,1972,1290000
Norway,Europe,1972,873000
Pakistan,Asia,1972,586000
Peru,Americas,1972,132000
Philippines,Asia,1972,18700
Poland,Europe,1972,75100000
Portugal,Europe,1972,382000
Qatar,Asia,1972,0
Romania,Europe,1972,7920000
Russia,Europe,1972,NA
Saudi Arabia,Asia,1972,0
Singapore,Asia,1972,3000
Slovak Republic,Europe,1972,7020000
South Africa,Africa,1972,29500000
South Korea,Asia,1972,5830000
Spain,Europe,1972,10100000
Sweden,Europe,1972,1470000
Switzerland,Europe,1972,373000
Thailand,Asia,1972,89800
Trinidad and Tobago,Americas,1972,0
Turkey,Europe,1972,5110000
Turkmenistan,Asia,1972,NA
Ukraine,Europe,1972,NA
United Arab Emirates,Asia,1972,0
United Kingdom,Europe,1972,74500000
United States,Americas,1972,304000000
Uzbekistan,Asia,1972,NA
Venezuela,Americas,1972,150000
Vietnam,Asia,1972,1080000
Algeria,Africa,1973,23000
Argentina,Americas,1973,760000
Australia,Asia,1973,21800000
Austria,Europe,1973,3970000
Azerbaijan,Europe,1973,NA
Bangladesh,Asia,1973,121000
Belarus,Europe,1973,NA
Belgium,Europe,1973,10800000
Brazil,Americas,1973,2540000
Bulgaria,Europe,1973,8220000
Canada,Americas,1973,15600000
Chile,Americas,1973,1110000
China,Asia,1973,205000000
Colombia,Americas,1973,1850000
Czech Republic,Europe,1973,37300000
Denmark,Europe,1973,2250000
Ecuador,Americas,1973,0
Egypt,Africa,1973,276000
Finland,Europe,1973,2490000
France,Europe,1973,27900000
Germany,Europe,1973,140000000
Greece,Europe,1973,4680000
Hungary,Europe,1973,8740000
India,Asia,1973,39700000
Indonesia,Asia,1973,67000
Iran,Asia,1973,635000
Ireland,Europe,1973,1860000
Israel,Asia,1973,0
Italy,Europe,1973,9000000
Japan,Asia,1973,56600000
Kazakhstan,Asia,1973,NA
Kuwait,Asia,1973,0
Lithuania,Europe,1973,NA
Malaysia,Asia,1973,99000
Mexico,Americas,1973,1600000
Netherlands,Europe,1973,3010000
New Zealand,Asia,1973,1460000
Norway,Europe,1973,938000
Pakistan,Asia,1973,582000
Peru,Americas,1973,151000
Philippines,Asia,1973,18700
Poland,Europe,1973,75500000
Portugal,Europe,1973,565000
Qatar,Asia,1973,0
Romania,Europe,1973,8920000
Russia,Europe,1973,NA
Saudi Arabia,Asia,1973,0
Singapore,Asia,1973,4340
Slovak Republic,Europe,1973,6830000
South Africa,Africa,1973,31400000
South Korea,Asia,1973,7370000
Spain,Europe,1973,9890000
Sweden,Europe,1973,1630000
Switzerland,Europe,1973,354000
Thailand,Asia,1973,96100
Trinidad and Tobago,Americas,1973,0
Turkey,Europe,1973,5220000
Turkmenistan,Asia,1973,NA
Ukraine,Europe,1973,NA
United Arab Emirates,Asia,1973,0
United Kingdom,Europe,1973,80700000
United States,Americas,1973,327000000
Uzbekistan,Asia,1973,NA
Venezuela,Americas,1973,272000
Vietnam,Asia,1973,1550000
Algeria,Africa,1974,19000
Argentina,Americas,1974,974000
Australia,Asia,1974,22700000
Austria,Europe,1974,4190000
Azerbaijan,Europe,1974,NA
Bangladesh,Asia,1974,108000
Belarus,Europe,1974,NA
Belgium,Europe,1974,11500000
Brazil,Americas,1974,2690000
Bulgaria,Europe,1974,8080000
Canada,Americas,1974,15900000
Chile,Americas,1974,1050000
China,Asia,1974,203000000
Colombia,Americas,1974,2230000
Czech Republic,Europe,1974,37100000
Denmark,Europe,1974,2130000
Ecuador,Americas,1974,0
Egypt,Africa,1974,483000
Finland,Europe,1974,2530000
France,Europe,1974,28300000
Germany,Europe,1974,140000000
Greece,Europe,1974,4930000
Hungary,Europe,1974,8330000
India,Asia,1974,44800000
Indonesia,Asia,1974,73000
Iran,Asia,1974,695000
Ireland,Europe,1974,2010000
Israel,Asia,1974,0
Italy,Europe,1974,9800000
Japan,Asia,1974,60000000
Kazakhstan,Asia,1974,NA
Kuwait,Asia,1974,0
Lithuania,Europe,1974,NA
Malaysia,Asia,1974,99000
Mexico,Americas,1974,1770000
Netherlands,Europe,1974,2870000
New Zealand,Asia,1974,1500000
Norway,Europe,1974,1040000
Pakistan,Asia,1974,533000
Peru,Americas,1974,161000
Philippines,Asia,1974,26100
Poland,Europe,1974,77600000
Portugal,Europe,1974,439000
Qatar,Asia,1974,0
Romania,Europe,1974,9380000
Russia,Europe,1974,NA
Saudi Arabia,Asia,1974,0
Singapore,Asia,1974,5320
Slovak Republic,Europe,1974,6800000
South Africa,Africa,1974,32900000
South Korea,Asia,1974,7600000
Spain,Europe,1974,9580000
Sweden,Europe,1974,1800000
Switzerland,Europe,1974,305000
Thailand,Asia,1974,144000
Trinidad and Tobago,Americas,1974,0
Turkey,Europe,1974,5690000
Turkmenistan,Asia,1974,NA
Ukraine,Europe,1974,NA
United Arab Emirates,Asia,1974,0
United Kingdom,Europe,1974,71100000
United States,Americas,1974,319000000
Uzbekistan,Asia,1974,NA
Venezuela,Americas,1974,204000
Vietnam,Asia,1974,1850000
Algeria,Africa,1975,24000
Argentina,Americas,1975,1050000
Australia,Asia,1975,23400000
Austria,Europe,1975,3640000
Azerbaijan,Europe,1975,NA
Bangladesh,Asia,1975,125000
Belarus,Europe,1975,NA
Belgium,Europe,1975,8620000
Brazil,Americas,1975,3200000
Bulgaria,Europe,1975,8470000
Canada,Americas,1975,15500000
Chile,Americas,1975,842000
China,Asia,1975,229000000
Colombia,Americas,1975,2270000
Czech Republic,Europe,1975,37900000
Denmark,Europe,1975,2050000
Ecuador,Americas,1975,0
Egypt,Africa,1975,577000
Finland,Europe,1975,2300000
France,Europe,1975,24800000
Germany,Europe,1975,127000000
Greece,Europe,1975,6460000
Hungary,Europe,1975,7940000
India,Asia,1975,48100000
Indonesia,Asia,1975,93000
Iran,Asia,1975,1290000
Ireland,Europe,1975,1700000
Israel,Asia,1975,0
Italy,Europe,1975,9830000
Japan,Asia,1975,56200000
Kazakhstan,Asia,1975,NA
Kuwait,Asia,1975,0
Lithuania,Europe,1975,NA
Malaysia,Asia,1975,9000
Mexico,Americas,1975,2030000
Netherlands,Europe,1975,2410000
New Zealand,Asia,1975,1410000
Norway,Europe,1975,989000
Pakistan,Asia,1975,517000
Peru,Americas,1975,168000
Philippines,Asia,1975,49500
